,lat,lon,name,capacity,distrito
0,37.3978439,-5.9984791,Plaza San Antonio de Padua,20,2
1,37.3975405,-5.9966186,Calle de Hernán Cortés,17,1
2,37.3968977,-5.993847,Alameda de Hercúles,20,4
3,37.40079,-5.9938002,Alameda de Hercúles,20,4
4,37.3994884,-5.9909861,Plaza Calderón de la Barca,15,4
5,37.4031482,-5.9918576,Calle Feria,15,3
6,37.4033474,-5.9890824,Parlamento,20,4
7,37.4033446,-5.9880344,Parlamento,15,1
8,37.3952732,-6.0101435,Calle del Inca Garcilaso,40,2
9,37.3921055,-6.0110319,Calle de Inca Garcilaso,40,4
10,37.4025275,-5.977637,Avenida de Miraflores,17,4
11,37.4008296,-5.9752218,Carretera de Carmona,15,1
12,37.4008477,-5.9794025,Avenida de Miraflores,13,2
13,37.3983746,-5.981755,Ronda Capuchinos,15,4
14,37.3976114,-5.9839284,Plaza del Pelícano,16,3
15,37.3913345,-5.9761846,Estación Renfe Santa Justa,40,3
16,37.4038881,-5.9949143,Plaza Duquesa de Alba,30,4
17,37.4020564,-5.986329,Calle Muñoz León,15,4
18,37.3996998,-5.9839458,Ronda Capuchinos,15,1
19,37.389754,-5.9870267,Plaza Pilatos,15,1
20,37.3895946,-5.9845523,Plaza San Agustín,15,1
21,37.3853038,-5.986738,Paseo Catalina Ribera,20,2
22,37.3815369,-5.9892332,Paseo Catalina Ribera,20,1
23,37.3883808,-5.9869733,Plaza de las Mercedarias,10,3
24,37.3837304,-6.0000313,Calle Betis,19,2
25,37.3757089,-6.0056255,Glorieta República Dominicana,20,1
26,37.3747244,-6.0023834,Calle Virgen de Luján,20,4
27,37.3812765,-6.0010318,Plaza Farmacéutico Murillo Herrera,20,2
28,37.3776619,-6.0025472,Avenida Esperanza de Triana,14,2
29,37.3865102,-5.9977998,Calle Adriano,18,4
30,37.3911108,-6.0031603,Plaza de Armas,39,1
31,37.3929261,-5.9993175,Plaza del Museo,20,1
32,37.3889438,-5.9952601,Plaza Nueva,40,3
33,37.3889073,-5.9955824,Plaza Nueva,30,2
34,37.4051157,-5.9747843,Avenida de Llanes,20,4
35,37.4039091,-5.972179,Avenida de Llanes,17,3
36,37.4071954,-5.9789081,Calle de Madreselva,20,4
37,37.4085658,-5.970531,Alcalde Manuel del Valle,20,1
38,37.3898408,-5.9911886,Calle Cuesta de Rosario,15,2
39,37.4096545,-5.9842555,Calle Doctor Jaime Marcos,20,1
40,37.4129322,-5.9848934,Ronda Urbana Norte,20,2
41,37.3886194,-6.010298,Calle Alfarería,20,1
42,37.3895726,-6.0076755,Plaza Chapina,20,3
43,37.3951765,-5.9908929,Plaza San Juan de la Palma,15,1
44,37.3942887,-5.9917052,Calle Regina,19,1
45,37.3920955,-5.9785982,Calle Jose Laguillo,20,3
46,37.3988222,-5.9936337,Alameda de Hércules,20,2
47,37.3898804,-5.9744805,Avenida Kansas City,18,2
48,37.3966427,-5.9898701,Calle Churruca,15,1
49,37.4230116,-5.9665727,Calle Agricultores,20,3
50,37.4204849,-5.9678863,Calle Mar de Alborán,20,1
51,37.4178443,-5.9692737,Mar de Alborán,20,4
52,37.4034791,-5.9812041,Avenida de la Cruz Roja,20,1
53,37.4162681,-5.9673386,Calle Pino Montano,20,2
54,37.3955925,-6.0024431,Avenida Torneo,20,3
55,37.393964,-5.9968487,Plaza de la Concordia,19,4
56,37.4219153,-5.9830562,Glorieta de los Ferroviarios,15,2
57,37.4219455,-5.9853727,Calle de Salvador Allende,15,2
58,37.4129286,-5.9889886,Glorieta Olímpica,20,2
59,37.4025422,-5.9700919,Carretera de Carmona,15,4
60,37.4049325,-5.9690227,Alcalde Manuel del Valle,20,4
61,37.3772116,-5.981927,Calle Doctor Pedro de Castro,15,3
62,37.3837427,-5.977445,Avenida Eduardo Dato,15,4
63,37.387629,-5.9658559,Calle Luis Montoto,19,3
64,37.3871884,-5.9709854,Calle Luis Montoto,15,1
65,37.386976,-5.9780512,Avenida la Buhaira,20,3
66,37.3875779,-5.9810425,Calle Luis Montoto,20,3
67,37.3783622,-5.9794282,Avda. Ramón y Cajal,30,4
68,37.3767898,-5.9978311,Calle Virgen de la Victoria,15,4
69,37.3870633,-6.0012385,Calle Arjona,20,4
70,37.3583986,-5.9864347,Avenida Reina Mercedes,25,3
71,37.3681002,-5.9846888,Avenida Cardenal Bueno Monreal,20,4
72,37.3660853,-5.975,Calle Alfonso Laso de la Vega,19,4
73,37.4056509,-5.9984993,Puerta de la Barqueta,40,3
74,37.381594,-5.9652201,Gran Plaza,18,1
75,37.4070889,-6.0029652,Camino de los Descubrimientos,20,3
76,37.411072,-6.0019106,Camino de los Descubrimientos,40,4
77,37.4075399,-6.0074235,Calle Américo Vespucio,20,3
78,37.4101736,-6.0056507,Calle Leonardo Da Vinci,40,2
79,37.4028157,-6.0040768,Camino de los Descubrimientos,20,1
80,37.4014414,-6.0090248,Calle Américo Vespucio,20,3
81,37.391543,-5.9684556,Avenida Solea,18,1
82,37.3819962,-5.9680625,Avenida Eduardo Dato,20,4
83,37.3899255,-5.9708167,Calle Sinaí,14,2
84,37.3774781,-5.9608944,Ronda Tamarguillo - Plaza Ruperto Chapí,20,1
85,37.3734928,-5.9649124,Glorieta Bizco Amate,13,1
86,37.3750834,-5.9675634,Avenida Ramón y Cajal,18,3
87,37.4072386,-5.9853451,Calle Dr Marañón,15,1
88,37.4066763,-5.9930831,Calle Avicena,20,4
89,37.4090933,-5.9909552,Calle José Díaz,20,2
90,37.4068864,-5.9891263,Avenida Sánchez Pizjuán,40,2
91,37.4047516,-5.9866992,Calle San Juan de Ribera,15,1
